tweets,date,city,user_location,id,link
"#BoletínDeLaHora🕚 en el #DoradoRadio📻
🚨 @BernalEgan segundo en sexta etapa y tercero en la general del Giro de Italia.",2021-05-13 16:09:35,Bogotá,"Bogotá, D.C., Colombia",1392874676469260289,https://twitter.com/i/web/status/1392874676469260289
Egan Bernal fue segundo en la etapa 6 del Giro de Italia https://t.co/wPK2Ve2BcF,2021-05-13 16:05:28,Bogotá,"Bogotá, Colombia",1392873640732024836,https://twitter.com/i/web/status/1392873640732024836
"Egan bonificó en la llegada y le descontó seis segundos al belga Remco Evenepoel (Deceuninck), el primero en la general de los candidatos. https://t.co/nWQyIPHlMO vía @lapatriacom",2021-05-13 16:01:07,Bogotá,"Manizales, Colombia",1392872543577591811,https://twitter.com/i/web/status/1392872543577591811
"Egan Bernal le gana el primer pulso a Evenepoel en San Giacomo
https://t.co/YT8tOwTGig https://t.co/nDAlitwEIX",2021-05-13 15:58:51,Bogotá,"Bogotá, Colombia",1392871974637084672,https://twitter.com/i/web/status/1392871974637084672
Así quedaron los colombianos en la clasificación general del Giro de Italia tras la etapa 6 https://t.co/SWTsklNzY4,2021-05-13 15:57:05,Bogotá,Bogotá,1392871527918575619,https://twitter.com/i/web/status/1392871527918575619
"#Deportes Egan Bernal, segundo en la etapa y tercero en la general del Giro de Italia. #SinCandadoRadio. https://t.co/JDMANR39sC https://t.co/j1X7dRTvlk",2021-05-13 15:55:15,Bogotá,"Bogotá, D.C., Colombia",1392871067660820486,https://twitter.com/i/web/status/1392871067660820486
"🇨🇴 ¡Atención! Egan Bernal (@Eganbernal), segundo en la etapa, y a 16 segundos del liderato ➡️ https://t.co/24pcanUqN4 https://t.co/EVgkgi6Kjc",2021-05-13 15:51:35,Bogotá,Bogotá,1392870146646085632,https://twitter.com/i/web/status/1392870146646085632
👏 Egan Bernal fue segundo y quedó a 16 segundos del liderato. La etapa de este jueves del Giro de Italia fue el primer final en alto de la carrera. Así quedó la Clasificación General 👉 https://t.co/3mtMCKGgmE https://t.co/o9HARmlzrm,2021-05-13 15:50:23,Bogotá,Bogotá,1392869842471067648,https://twitter.com/i/web/status/1392869842471067648
"Giro de Italia: Egan Bernal, segundo en la etapa y a 16 segundos del liderato https://t.co/9FonsrOCqb",2021-05-13 15:48:45,Bogotá,"Bogotá, Colombia",1392869430556864515,https://twitter.com/i/web/status/1392869430556864515
Egan Bernal segundo en la etapa 6 del Giro de Italia. El colombiano ya es tercero en la clasificación general a 16 segundos del líder,2021-05-13 15:48:16,Bogotá,Colombia,1392869308422922240,https://twitter.com/i/web/status/1392869308422922240
"#GiroDeItalia2021 Egan Bernal le gana el primer pulso a Evenepoel en San Giacomo. 
https://t.co/55YXeX0eoJ

#GiroxElEspectador",2021-05-13 15:46:54,Bogotá,"Bogotá, Colombia",1392868966574481409,https://twitter.com/i/web/status/1392868966574481409
"#Giro | 🚴‍♂️🇮🇹💗🇨🇴🔝 TOP 10 de la CG del Giro de Italia con Egan Bernal TERCERO a 16” del NUEVO LÍDER, Attila Valter (@GroupamaFDJ) 🚴‍♂️🇨🇴💗🇮🇹👏💪

#VamosEscarabajos #VamosEgan #Ciclismo #Colombia https://t.co/1dhlTfmVX3",2021-05-13 15:46:38,Bogotá,"Bogota, Colombia",1392868898379272201,https://twitter.com/i/web/status/1392868898379272201
"#GirodeItalia  Los colombianos Martínez, Tejada y Rubio también fueron protagonistas. Hay cambios en la clasificación general. https://t.co/9myALJSLpv",2021-05-13 15:45:15,Bogotá,Bogotá,1392868551615201283,https://twitter.com/i/web/status/1392868551615201283
Escarabajos de altura: Gran día de los colombianos en montaña del #Giro de Italia [VIDEO] https://t.co/k16ze4jxsy,2021-05-13 15:45:05,Bogotá,"Bogotá, D.C., Colombia",1392868508770476035,https://twitter.com/i/web/status/1392868508770476035
Escarabajos de altura: Gran día de los colombianos en montaña del #Giro de Italia [VIDEO] https://t.co/PRYoegQs7C,2021-05-13 15:45:03,Bogotá,Bogotá - Colombia,1392868502458019851,https://twitter.com/i/web/status/1392868502458019851
¡Ya es tercero! Egan Bernal está a punto de calzarse la maglia rosa y reta a un mano a mano a Evenepoel  https://t.co/cqlV6Eus6v,2021-05-13 15:44:16,Bogotá,Bogotá,1392868302494523407,https://twitter.com/i/web/status/1392868302494523407
"#Giro | 🇮🇹 Con su segunda posición en la primera etapa con final en alto del Giro de Italia, Egan Bernal impone condiciones ante los favoritos y se ubica tercero en la CG. 🚴‍♂️🇨🇴

#VamosEscarabajos #ElPortalDelCiclismo

https://t.co/jhPigWpBAe",2021-05-13 15:41:04,Bogotá,"Bogota, Colombia",1392867498329051136,https://twitter.com/i/web/status/1392867498329051136
¡Ya es tercero! Egan Bernal está a punto de calzarse la maglia rosa y reta a un mano a mano a Evenepoel  https://t.co/3mXXB288SL,2021-05-13 15:40:21,Bogotá,Bogotá,1392867318229839872,https://twitter.com/i/web/status/1392867318229839872
"📰Más INFO:

🚲https://t.co/vvMZL1W65e

#GiroDeItalia2021 
#eganbernal https://t.co/ttk2PuQ5vY",2021-05-13 15:39:56,Bogotá,Bogotá - Colombia,1392867213359685634,https://twitter.com/i/web/status/1392867213359685634
"A kilómetro y medio del final, el joven maravilla dijo ""acá estoy yo"" y llegó segundo en la sexta etapa  https://t.co/8Pw24TjWrg https://t.co/t42izaUqm2",2021-05-13 15:37:37,Bogotá,Bogotá,1392866631865585667,https://twitter.com/i/web/status/1392866631865585667
"#Giro | 🚴‍♂️🇮🇹💗🇨🇴🔝 TOP 10 de la 6a etapa del Giro de Italia con Egan Bernal segundo en Ascoli Piceno a 12” del ganador Gino Mader 🚴‍♂️🇨🇴💗🇮🇹👏💪

#VamosEscarabajos #VamosEgan #Ciclismo #Colombia https://t.co/t9ubT9BYJQ",2021-05-13 15:35:14,Bogotá,"Bogota, Colombia",1392866030205145093,https://twitter.com/i/web/status/1392866030205145093
"Escalofriante momento en el que un ciclista es atropellado en la etapa 6 del Giro de Italia

https://t.co/DRa14wRB1K

@NoticiasCaracol https://t.co/3QS0Z7iN7Y",2021-05-13 15:33:47,Bogotá,"Bogotá, Colombia",1392865665543983107,https://twitter.com/i/web/status/1392865665543983107
Clasificaciones: Egan ya es tercero en la general y a 16 s del liderato. https://t.co/8CElRxdlrU @ELTIEMPO,2021-05-13 15:31:40,Bogotá,Bogotá,1392865132351565824,https://twitter.com/i/web/status/1392865132351565824
