palabra,peso,ciudad
t,1.0,Cali
hijo,0.9629629629629629,Cali
si,0.5555555555555556,Cali
hoy,0.48148148148148145,Cali
días,0.3333333333333333,Cali
colombia,0.3333333333333333,Cali
toda,0.3333333333333333,Cali
celebrar,0.2962962962962963,Cali
fin semana,0.2962962962962963,Cali
poder,0.25925925925925924,Cali
mamá,0.25925925925925924,Cali
q,0.25925925925925924,Cali
cada,0.25925925925925924,Cali
señora,0.25925925925925924,Cali
dijo,0.2222222222222222,Cali
duque,0.2222222222222222,Cali
regalo,0.2222222222222222,Cali
casa,0.2222222222222222,Cali
mano,0.2222222222222222,Cali
alguien,0.2222222222222222,Cali
policía,0.2222222222222222,Cali
claudialopez,0.18518518518518517,Cali
mayo,0.18518518518518517,Cali
mejor,0.18518518518518517,Cali
pueblo,0.18518518518518517,Cali
así,0.18518518518518517,Cali
gente,0.18518518518518517,Cali
va,0.18518518518518517,Cali
comercio,0.18518518518518517,Cali
solo,0.14814814814814814,Cali
fecha,0.14814814814814814,Cali
pues,0.14814814814814814,Cali
iba,0.14814814814814814,Cali
semana,0.14814814814814814,Cali
acerca,0.14814814814814814,Cali
van,0.14814814814814814,Cali
ser,0.14814814814814814,Cali
siempre,0.14814814814814814,Cali
nuevo,0.14814814814814814,Cali
celebración,0.14814814814814814,Cali
soscolombiaddhh,0.14814814814814814,Cali
domingo,0.14814814814814814,Cali
favor,0.14814814814814814,Cali
momento,0.14814814814814814,Cali
colombia manifestantes,0.14814814814814814,Cali
manifestantes jalón,0.14814814814814814,Cali
jalón pala,0.14814814814814814,Cali
pala ambulancia,0.14814814814814814,Cali
ambulancia trabajo,0.14814814814814814,Cali
trabajo parto,0.14814814814814814,Cali
parto triste,0.14814814814814814,Cali
triste resultado,0.14814814814814814,Cali
resultado perdida,0.14814814814814814,Cali
perdida niña,0.14814814814814814,Cali
niña hago,0.14814814814814814,Cali
hago naciendo,0.14814814814814814,Cali
naciendo muerta,0.14814814814814814,Cali
muerta tragedia,0.14814814814814814,Cali
tragedia t,0.14814814814814814,Cali
mientras,0.1111111111111111,Cali
ahora,0.1111111111111111,Cali
grande,0.1111111111111111,Cali
familia,0.1111111111111111,Cali
sabe,0.1111111111111111,Cali
ver,0.1111111111111111,Cali
asesinado,0.1111111111111111,Cali
celebramos,0.1111111111111111,Cali
matar,0.1111111111111111,Cali
segundo,0.1111111111111111,Cali
comercial,0.1111111111111111,Cali
después,0.1111111111111111,Cali
trabajar,0.1111111111111111,Cali
dejamos,0.1111111111111111,Cali
viene,0.1111111111111111,Cali
mundo,0.1111111111111111,Cali
algún,0.1111111111111111,Cali
celebra,0.1111111111111111,Cali
triste,0.1111111111111111,Cali
solamente,0.1111111111111111,Cali
dolor,0.1111111111111111,Cali
mas,0.1111111111111111,Cali
vamos,0.1111111111111111,Cali
da,0.1111111111111111,Cali
razones,0.1111111111111111,Cali
x,0.1111111111111111,Cali
tan,0.1111111111111111,Cali
pensando,0.1111111111111111,Cali
perdido,0.1111111111111111,Cali
compra,0.1111111111111111,Cali
hablar,0.1111111111111111,Cali
noticiascaracol,0.1111111111111111,Cali
volver,0.1111111111111111,Cali
marchar,0.1111111111111111,Cali
soscolmbia,0.1111111111111111,Cali
protesta,0.1111111111111111,Cali
usted,0.1111111111111111,Cali
bueno,0.1111111111111111,Cali
d,0.1111111111111111,Cali
derecho,0.1111111111111111,Cali
salud,0.1111111111111111,Cali
hacer,0.1111111111111111,Cali
paro,0.1111111111111111,Cali
muerto,0.1111111111111111,Cali
envío,0.1111111111111111,Cali
restaurante,0.1111111111111111,Cali
uci,0.1111111111111111,Cali
cuarentena,0.1111111111111111,Cali
contagio,0.1111111111111111,Cali
vida,0.1111111111111111,Cali
petrogustavo,0.07407407407407407,Cali
padre,0.07407407407407407,Cali
dar,0.07407407407407407,Cali
estudiante,0.07407407407407407,Cali
fin,0.07407407407407407,Cali
dias,0.07407407407407407,Cali
piensan,0.07407407407407407,Cali
acuerdan,0.07407407407407407,Cali
aplazaba,0.07407407407407407,Cali
dejar,0.07407407407407407,Cali
lu,0.07407407407407407,Cali
espero,0.07407407407407407,Cali
quieren,0.07407407407407407,Cali
ivanduque,0.07407407407407407,Cali
amén,0.07407407407407407,Cali
olvide,0.07407407407407407,Cali
agustín,0.07407407407407407,Cali
feliz,0.07407407407407407,Cali
piensen,0.07407407407407407,Cali
marchas,0.07407407407407407,Cali
perdieron,0.07407407407407407,Cali
igual,0.07407407407407407,Cali
cierto,0.07407407407407407,Cali
futuro,0.07407407407407407,Cali
mil,0.07407407407407407,Cali
ecd,0.07407407407407407,Cali
concurso,0.07407407407407407,Cali
milf,0.07407407407407407,Cali
cali,0.07407407407407407,Cali
poniendo,0.07407407407407407,Cali
riesgo,0.07407407407407407,Cali
terrorismo,0.07407407407407407,Cali
orden,0.07407407407407407,Cali
asesinar,0.07407407407407407,Cali
tema,0.07407407407407407,Cali
quiero,0.07407407407407407,Cali
especiales,0.07407407407407407,Cali
social,0.07407407407407407,Cali
vez,0.07407407407407407,Cali
mayor,0.07407407407407407,Cali
habla,0.07407407407407407,Cali
aquí,0.07407407407407407,Cali
cuenta,0.07407407407407407,Cali
saber,0.07407407407407407,Cali
corazón,0.07407407407407407,Cali
mierda,0.07407407407407407,Cali
salir,0.07407407407407407,Cali
colombiaenalertaroja,0.07407407407407407,Cali
noches,0.07407407407407407,Cali
noticiero,0.07407407407407407,Cali
invitar,0.07407407407407407,Cali
viviendo,0.07407407407407407,Cali
cree,0.07407407407407407,Cali
país,0.07407407407407407,Cali
dizque,0.07407407407407407,Cali
negocio,0.07407407407407407,Cali
tip,0.07407407407407407,Cali
colombiano,0.07407407407407407,Cali
mujeres,0.07407407407407407,Cali
solidaridad,0.07407407407407407,Cali
saninpazc,0.07407407407407407,Cali
nunca,0.07407407407407407,Cali
joven,0.07407407407407407,Cali
celebremos,0.07407407407407407,Cali
secretario,0.07407407407407407,Cali
bogotá,0.07407407407407407,Cali
culpa,0.07407407407407407,Cali
persona,0.07407407407407407,Cali
gobierno,0.07407407407407407,Cali
aplazó,0.07407407407407407,Cali
puta,0.07407407407407407,Cali
celebren,0.07407407407407407,Cali
niega,0.07407407407407407,Cali
citytv,0.07407407407407407,Cali
luego,0.07407407407407407,Cali
pudo,0.07407407407407407,Cali
hija,0.07407407407407407,Cali
senadora,0.07407407407407407,Cali
puede,0.07407407407407407,Cali
haber,0.07407407407407407,Cali
bogota,0.07407407407407407,Cali
pueda,0.07407407407407407,Cali
camas,0.07407407407407407,Cali
ir,0.07407407407407407,Cali
comerciales,0.07407407407407407,Cali
alerta,0.07407407407407407,Cali
ocupación,0.07407407407407407,Cali
gt,0.07407407407407407,Cali
tiktok reel,0.07407407407407407,Cali
antunelo chan,0.07407407407407407,Cali
cultura radioeth,0.07407407407407407,Cali
t,1.0,Armenia
feliz,0.4146341463414634,Armenia
hoy,0.2926829268292683,Armenia
q,0.2682926829268293,Armenia
si,0.1951219512195122,Armenia
mamá,0.17073170731707318,Armenia
hijo,0.17073170731707318,Armenia
toda,0.14634146341463414,Armenia
si todavía,0.14634146341463414,Armenia
